crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,state,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,district,rf,average salinity/alkalinity (percentage)
Pigeonpea,0.19,0.11,0.050000001,47,2017,1,Andhra Pradesh,106191,49578,46863,West Godavari,73.55557452,0
Pigeonpea,2.28,3.0999999,0,48,2017,1,Andhra Pradesh,84529,39105,20768,Krishna,61.26666649,11.94890312
Pigeonpea,68.230003,47.470001,0.82999998,49,2017,1,Andhra Pradesh,173584,89900,25004,Guntur,55.63833425,16.86394141
Pigeonpea,34.119999,13.61,0,50,2017,1,Andhra Pradesh,98386,38207,20817,S.P.S. Nellore,0,0
Pigeonpea,79.379997,34.220001,1.59,51,2017,1,Andhra Pradesh,140564,80498,24777,Kurnool,41.17666693,12.74332121
Pigeonpea,72.809998,14.13,0.029999999,52,2017,1,Andhra Pradesh,38288,26127,12070,Ananthapur,0,0
Pigeonpea,8.96,2.7,0.11,53,2017,1,Andhra Pradesh,47161,24126,12776,Kadapa YSR,0,0
Pigeonpea,8.0100002,2.04,0.039999999,54,2017,1,Andhra Pradesh,43320,15960,8962,Chittoor,63.06166692,2.652205203
Pigeonpea,56.82,42.439999,0,55,2017,20,Telangana,29965,15280,10357,Hyderabad,93.31833326,0
Pigeonpea,7.23,7.8899999,0,56,2017,20,Telangana,93054,30033,11208,Nizamabad,70.17500168,1.724911466
Pigeonpea,30.83,24.6,0,57,2017,20,Telangana,13194,8958,2670,Medak,76.52750083,1.005789909
Pigeonpea,142.96001,113.07,0,58,2017,20,Telangana,74046,35010,8556,Mahabubnagar,60.90239031,17.58192712
Pigeonpea,26.860001,16.110001,0,59,2017,20,Telangana,33043,14763,5605,Nalgonda,60.45083492,15.80632803
Pigeonpea,9.1700001,9.1499996,0.003,60,2017,20,Telangana,122203,31481,16202,Warangal,80.49583328,0
Pigeonpea,4.8000002,4.0500002,0.013,61,2017,20,Telangana,15181,8795,3643,Khammam,77.35333228,31.33744182
Pigeonpea,4.6799998,3.26,0.007,62,2017,20,Telangana,12532,5973,1849,Karimnagar,63.95500008,11.12488977
Pigeonpea,47.009998,43.189999,0,63,2017,20,Telangana,59648,13502,6270,Adilabad,62.22666738,0.454825911
Pigeonpea,5.3200002,4.1300001,0.18000001,64,2017,5,Karnataka,37554,15679,5330,Bangalore,0,0
Pigeonpea,13.02,13.83,1.14,65,2017,5,Karnataka,29931,18362,7165,Kolar,95.93166667,0.086816909
Pigeonpea,10.96,2.8699999,3.3399999,66,2017,5,Karnataka,24548,13290,6346,Tumkur,0,0
Pigeonpea,2.8099999,2.26,0.27000001,67,2017,5,Karnataka,46920,23006,18188,Mysore,0,0
Pigeonpea,1.05,0.68000001,0.01,68,2017,5,Karnataka,49044,13855,9299,Mandya,68.3841669,0.102585889
Pigeonpea,1.62,1.27,0,69,2017,5,Karnataka,32894,19091,15439,Hassan,73.79500007,0.025147948
Pigeonpea,21.48,18.540001,0.55000001,72,2017,5,Karnataka,63447,36388,13890,Chitradurga,50.83583324,5.517792473
Pigeonpea,9.3599997,7.6900001,1.54,73,2017,5,Karnataka,70669,37463,13491,Bellary,0,0
